Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n233-k16.vrp,19422,19371,19374,19300,19244,19398,19323,19360,19331,19392,19393,19406,19385,19355,19391,19277,19399,19393,19391,19359,19407,19402,19406,19390,19414,19249,19349,19363,19384,19349,19331,19325,19338,19323,19414,19425,19355,19294,19368,19325,19404,19442,19364,19424,19394,19349,19419,19356,19399,19409
X-n237-k14.vrp,27050,27140,27117,27200,27239,27111,27193,27113,27252,27093,27228,27167,27098,27221,27245,27301,27247,27223,27251,27097,27127,27161,27190,27057,27117,27104,27095,27200,27142,27104,27117,27105,27056,27207,27145,27098,27151,27163,27145,27138,27113,27071,27106,27271,27127,27069,27153,27136,27139,27193
X-n242-k48.vrp,83256,83282,82991,83214,83098,83345,83176,83243,83340,83113,83106,83334,83181,82962,83064,83272,83382,83043,83250,83006,83144,83249,83083,83222,83151,83247,83143,83172,83105,83318,82920,83015,83082,83192,83343,83177,83036,83032,82961,83147,83056,83070,83154,83187,83140,83275,83074,83332,83280,83170
X-n247-k50.vrp,37569,37477,37920,37920,37920,37653,38070,37654,38013,38070,37920,37917,37574,37616,37917,37920,37760,37771,38070,38079,37623,37920,37920,37495,37918,38070,37760,37824,38070,37946,38072,37594,38070,38070,38121,38070,38014,37917,37969,38183,37920,38070,37917,38017,38070,38013,37583,37917,37814,38016
X-n251-k28.vrp,38936,38838,38892,39042,39016,38865,38942,38912,38977,39021,38902,38999,38893,38937,38872,38977,38986,38958,38965,38910,38895,39032,38929,39002,38802,39009,38871,38915,38916,38960,38907,38890,38836,38909,38920,38976,38932,38942,38878,39039,38911,39021,38867,38823,38914,38985,38850,38878,38960,38938
X-n256-k16.vrp,18931,18932,18899,18946,18880,18897,18912,18895,18958,18889,19000,18952,18889,18931,18925,18923,18920,18880,18969,18880,18921,18889,18977,18927,18931,18927,18978,18888,18929,18922,18923,18880,18994,18920,18999,18925,18889,18902,18925,18984,18968,18889,18954,18914,18931,18911,18977,18926,18928,18889
X-n261-k13.vrp,26979,26931,26762,26926,26891,26810,26777,26665,26741,26744,26940,27032,26975,26675,26998,26991,26804,26879,26919,26995,26939,26943,26867,26920,26781,26873,26923,26792,26783,26921,26910,26922,26775,26775,26809,26834,26756,26798,26834,26689,26948,26961,26707,26778,26766,26845,26807,26846,26880,26838
X-n266-k58.vrp,75557,76372,76110,75792,75881,76029,76188,75699,75932,75872,76188,76179,75796,76187,76238,76157,75835,76213,76190,75812,76001,75988,75978,75716,75886,76031,75970,75884,76064,76010,76187,76054,75817,76331,75627,75681,75716,76364,76255,75778,76102,75787,75803,75983,75975,76213,76057,75955,76026,76067
X-n270-k35.vrp,35477,35444,35434,35421,35475,35485,35450,35409,35410,35534,35493,35422,35468,35465,35457,35588,35408,35481,35463,35479,35425,35448,35541,35485,35483,35439,35423,35563,35437,35561,35457,35452,35403,35436,35450,35482,35497,35503,35383,35457,35448,35497,35437,35499,35399,35472,35422,35458,35420,35442
X-n275-k28.vrp,21438,21260,21270,21305,21290,21369,21395,21332,21388,21254,21381,21272,21284,21254,21313,21308,21284,21263,21385,21317,21312,21349,21267,21269,21303,21287,21344,21308,21269,21342,21251,21399,21502,21260,21370,21262,21429,21272,21362,21278,21245,21354,21354,21263,21345,21432,21287,21355,21288,21309
