instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9
X-n420-k130.vrp,7102,7237,7163,7970,6689,6803,6699,7104,7169,7546
X-n429-k61.vrp,9661,10470,9426,10215,8977,8511,8885,9756,9343,9768
X-n439-k37.vrp,11461,11421,12091,11586,12626,11562,11576,11357,11354,11441
X-n449-k29.vrp,9655,8060,7859,8693,9131,10904,10108,11228,9605,10625
X-n459-k26.vrp,13530,10161,10609,9501,11476,10308,9900,10474,9583,10253
X-n469-k138.vrp,10049,10998,9081,11639,11957,8392,8914,11117,12401,11651
X-n480-k70.vrp,9821,11446,10531,11599,10462,11620,9605,9999,11662,11705
X-n491-k59.vrp,8069,8713,8147,7596,9295,9268,8628,8429,9713,8432
X-n502-k39.vrp,15946,14890,15435,16101,15537,14911,15396,16513,15776,16728
X-n513-k21.vrp,12028,15685,14393,11604,13714,11808,14160,12018,12345,14418
X-n524-k153.vrp,8893,8255,8938,8880,8821,8637,8403,8853,8864,9714
X-n536-k96.vrp,10309,8123,10028,9314,10595,8178,8836,10275,11402,10296
X-n548-k50.vrp,12573,12336,12179,12126,12134,11931,14865,12298,12005,11955
X-n561-k42.vrp,8432,9344,8076,8816,7595,7794,7538,8473,8580,8446
X-n573-k30.vrp,12979,12384,13384,12059,11066,12248,12574,12579,13390,11330
X-n586-k159.vrp,10164,11163,10587,9790,11069,11259,10532,11643,11951,11291
X-n599-k92.vrp,9764,10057,12993,12799,11486,10425,11233,13646,10967,10715
X-n613-k62.vrp,7311,7346,7335,7147,7328,7139,6837,8167,7028,7151
X-n627-k43.vrp,11899,11601,12033,12567,11906,11251,11472,12009,11444,13285
X-n641-k35.vrp,13578,12590,12191,11455,13403,11885,11534,12226,11371,13673
X-n655-k131.vrp,20410,24392,22929,22493,22876,22338,22430,22992,24587,22312
X-n670-k130.vrp,8263,8457,7296,8949,8327,7229,8649,9015,7791,8100
X-n685-k75.vrp,8613,8438,7633,8803,8111,7963,8360,8254,11063,8950
X-n701-k44.vrp,9556,9590,9156,10449,9282,10460,9029,9600,10881,10298
X-n716-k35.vrp,10546,11951,10819,10286,10182,10715,10302,10877,10209,10103
X-n733-k159.vrp,8410,7368,8080,7460,9076,8020,7792,8078,8182,8684
X-n749-k98.vrp,8268,8467,8317,7845,8675,9235,8345,8469,8040,8328
X-n766-k71.vrp,9104,9520,9340,9448,9325,9190,9062,9547,9043,9886
X-n783-k48.vrp,11318,11965,11702,11341,10772,11390,10688,11862,11865,12324
X-n801-k40.vrp,11224,11707,10657,10797,11425,12979,11016,10474,11389,11242
X-n819-k171.vrp,7464,9800,9625,7992,7886,7974,7657,7793,9549,9106
X-n837-k142.vrp,10679,10844,11044,10524,11594,10901,13130,11430,12834,11773
X-n856-k95.vrp,10604,11301,11424,12134,10924,11087,11504,10997,11544,11489
X-n876-k59.vrp,9804,10304,11045,10844,10232,10511,10764,10893,10531,10551
X-n895-k37.vrp,13350,12095,11172,11723,11116,11082,10235,10822,11149,10931
X-n916-k207.vrp,10985,10741,12243,14312,11957,11712,11969,10145,13508,12800
X-n936-k151.vrp,7225,7370,7818,7910,7537,7539,7759,7437,7663,7619
X-n957-k87.vrp,10995,11560,12822,10997,11954,11303,11488,11396,11267,11588
X-n979-k58.vrp,14168,14057,15630,15567,13792,15367,15718,14900,14480,14329
X-n1001-k43.vrp,9873,10371,9803,10260,9720,11147,10050,10325,10254,10292
