Instance,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49
X-n327-k20.vrp,27930,28182,28012,27969,27959,27945,27984,27835,27875,27879,27876,27953,27852,27756,28128,27901,27959,27935,27812,27912,27949,27903,27900,27875,28011,27892,27857,27948,27969,27876,28033,27987,27953,27993,28007,27867,27982,27894,27968,27998,27981,27789,27900,27939,27864,27936,27984,27818,27804,27934
X-n331-k15.vrp,31209,31457,31474,31467,31307,31412,31563,31506,31489,31451,31273,31440,31547,31464,31401,31349,31404,31355,31163,31461,31275,31445,31457,31324,31379,31425,31366,31250,31328,31370,31261,31356,31388,31248,31253,31383,31265,31362,31257,31423,31573,31682,31357,31200,31400,31558,31471,31301,31503,31254
X-n336-k84.vrp,141385,141176,140756,141124,141133,140697,140485,140684,141230,141426,141802,141066,141668,140637,140855,140857,141083,141081,141207,141102,140759,141541,141428,141219,140865,140818,141076,140889,141340,141418,141220,141218,141216,141666,141530,141804,140935,140493,141009,141535,141369,140513,140395,142089,141120,140790,141401,140934,141073,141083
X-n344-k43.vrp,42795,42430,42812,42813,42622,42715,42602,42888,42605,42777,42724,42662,42677,42682,42586,42590,42920,42752,42853,42717,42719,42548,42775,42717,42752,42334,42525,42823,42639,42701,42642,42733,42796,42713,42792,42566,42466,42805,42687,42635,42718,42624,42695,42682,42826,42670,42768,42615,42706,42696
X-n351-k40.vrp,26413,26451,26480,26358,26448,26330,26414,26413,26476,26496,26383,26316,26289,26268,26482,26357,26411,26365,26390,26384,26415,26336,26567,26525,26184,26340,26226,26356,26425,26340,26281,26208,26429,26388,26394,26385,26323,26243,26423,26359,26291,26329,26333,26422,26511,26302,26243,26238,26261,26375
X-n359-k29.vrp,52153,52204,52053,52006,52142,52084,52061,52042,52140,51951,52137,52061,52109,52130,52179,52186,52176,52155,52108,52079,52125,52070,52056,52311,52073,52095,52114,52098,52087,52046,52174,52085,52221,52134,52169,51890,52145,51980,52130,52081,52213,52200,52093,52027,52009,52108,52061,52037,52059,52042
X-n367-k17.vrp,23142,23084,23110,23072,22970,23258,23037,23116,23134,23046,23132,23061,23011,23145,22982,23074,23165,23315,23170,23031,23004,23096,23075,23171,23042,23176,23049,23107,23126,23059,23099,23115,23044,23254,23192,23048,23129,23038,23031,23220,23083,23090,23214,23061,23002,23151,23002,23094,23060,23053
X-n376-k94.vrp,148232,148092,148255,148112,148058,148128,148073,148036,148210,148109,148130,148293,148158,147990,148028,147978,148089,148129,148153,148032,148212,148144,148095,147985,148057,148110,148088,148006,148068,148193,148090,148034,148112,148020,148171,148377,148061,148202,148129,148072,148131,148195,148085,148025,148139,148276,148146,148074,148071,148157
X-n384-k52.vrp,66734,66628,66847,66912,67020,66823,66761,66608,66959,66985,67126,66906,66826,66785,66637,66946,66903,66740,66553,66678,66621,66607,67054,66909,66680,66830,66980,66616,67004,66739,66893,66838,66890,66824,66659,66887,66534,66928,66801,66856,66855,66680,66897,66636,66934,66848,66579,66918,66516,66701
X-n393-k38.vrp,38629,38848,38844,38778,38813,38738,38570,38764,38640,38593,38603,38724,38767,38766,38654,38815,38677,38803,38818,38834,38545,38573,38548,38846,38806,38610,38928,38780,38676,38651,38860,38867,38702,38785,38619,38734,38734,38747,38710,38896,38759,38569,38781,38737,38790,38670,38987,38750,38855,38781
X-n401-k29.vrp,66841,66591,66710,66570,66583,66736,66766,66898,66696,66768,66841,66738,66740,66630,66585,66920,66760,66672,66753,66597,66698,66823,66665,66724,66738,66834,66578,66656,66761,66765,66794,66635,66819,66666,66741,66589,66856,66827,66680,66669,66810,66792,66629,66700,66741,66742,66738,66711,66739,66567
X-n411-k19.vrp,20101,20177,20115,20112,20011,20058,19944,20069,20052,20148,20214,20189,20075,20116,20172,19887,20016,20179,20059,20117,20097,20054,20189,20140,20065,20185,20185,20282,20005,20125,20087,19956,20058,20205,20236,20127,20213,20197,20129,20165,20080,20178,20237,20162,20146,20085,20214,20093,20133,20175
X-n420-k130.vrp,108652,109411,108816,108840,108984,108768,108889,108254,109127,109094,109174,108870,109122,108734,108698,109214,108915,108891,108509,108940,109144,108834,109007,108695,108819,108857,108797,108996,108704,108749,108604,108629,108681,108414,108779,108534,109085,109064,109007,109002,108850,109080,108890,108900,108681,109318,109477,108821,108963,108835
X-n429-k61.vrp,66298,66323,66399,66678,66381,66286,66771,66426,66487,66797,66230,66165,66587,66448,66329,66680,66442,66568,66556,66340,66403,66490,66364,66395,66388,66526,66598,66510,66853,66388,66373,66571,66152,66653,66349,66316,66319,66593,66700,66547,66113,66438,66154,66407,66717,66353,66315,66487,66214,66707
X-n439-k37.vrp,36595,36669,36712,36746,36743,36849,36789,36771,36773,36670,36708,36814,36702,36619,36667,36801,36628,36744,36534,36676,36758,36712,36667,36720,36764,36645,36744,36698,36698,36677,36784,36638,36668,36687,36576,36624,36850,36656,36756,36776,36821,36775,36978,36726,36712,36806,36769,36756,36660,36862
